constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0, 0.3, 0.4, 10], [3.0, 9.9, 1.0, 300], [0.01, 0.05, 0.01, 10], 20, 20, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  1  2  3  ]
Optimizer(): evals/step: 10
Optimizer(): numParams: 4 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.770000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       p01       p02       p03       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   115       52.58     1.360000  7.000000  0.590000  110.000000        86.80     53.60     55.80     20.00     12.78     72.30     48.25     61.71     90.16     24.38 
   116       55.43     0.960000  7.950000  0.500000  90.000000        90.80     77.20     69.80     22.40      2.78     58.60     60.40     59.71     94.56     18.02 
   117       45.82     0.570000  7.200000  0.470000  140.000000        42.00     74.27    102.80     -4.80     14.44    -12.20     48.65     60.91     86.89     45.25 
   118       52.34     0.710000  6.800000  0.440000  120.000000        92.80     92.40     89.60     -8.53    -10.56     25.90     60.48     58.00     93.42     29.94 
   119       50.50     1.170000  5.450000  0.540000  130.000000        80.40     48.13     63.00     15.20     28.33     61.60     45.87     63.35     80.23     18.89 
   120       51.02     1.650000  5.800000  0.620000  150.000000        81.00     52.53     48.40     18.13     11.67     82.20     47.22     60.25     89.02     19.81 
   121       43.30     2.030000  4.800000  0.660000  110.000000        68.00     34.27     58.40     12.00      3.33     68.10     36.27     62.11     80.05     10.49 
   122       48.35     1.730000  6.900000  0.580000  130.000000        85.80     53.07     40.60      6.67     -3.89     83.10     41.83     65.31     88.07     22.96 
   123       43.06     1.950000  5.300000  0.600000  130.000000        80.00     64.67     20.60    -11.73     -1.11     64.20     46.03     61.35     87.85     18.77 
   124       40.39     2.250000  6.350000  0.640000  170.000000        67.00     36.93     35.40     -3.73     23.33     58.20     43.97     56.95     75.83     10.06 
   125       43.67     1.840000  4.600000  0.690000  150.000000        76.00     44.00     26.60     26.67     -8.89     72.40     30.00     64.91     86.85     18.21 
   126       47.52     1.650000  3.800000  0.750000  160.000000        70.20     46.13     63.80     17.07    -13.89     64.40     43.25     73.64     91.70     18.89 
   127       45.91     1.840000  3.150000  0.780000  140.000000        87.40     40.93     47.20     -2.67     -0.00     72.50     43.10     69.13     87.53     14.01 
   128       43.01     2.040000  4.800000  0.710000  130.000000        73.80     35.20     41.20     20.80      0.00     60.30     43.57     68.00     79.91      7.35 
   129       48.09     1.650000  2.700000  0.810000  110.000000        89.60     44.53     39.20     -6.40     18.33     77.10     45.08     70.36     88.75     14.32 
   130       47.82     1.760000  3.600000  0.740000  150.000000        75.20     55.20     39.40      7.20     15.00     67.50     52.22     69.05     89.61      7.84 
   131       46.30     1.870000  4.950000  0.800000  170.000000        95.80     34.13     40.80     -6.93      8.89     69.10     55.00     71.93     83.58     10.74 
   132       46.57     1.670000  4.250000  0.790000  120.000000        94.20     47.20     44.80      4.27    -27.22     66.00     55.00     74.29     88.03     19.14 
   133       47.83     1.770000  3.100000  0.720000  130.000000        74.20     50.80     41.20      2.13     13.33     71.40     45.48     69.31     95.74     14.75 
   134       53.18     1.640000  2.050000  0.760000  90.000000        81.20     52.67     47.80    -15.47     37.22     77.30     55.08     82.11     89.39     24.51 
   135       48.81     1.430000  2.600000  0.850000  140.000000        82.80     44.80     48.80      8.80     -3.89     74.50     48.97     77.05     93.65     12.59 
   136       49.60     1.750000  2.350000  0.840000  190.000000        90.40     53.20     44.80     13.87    -14.44     82.40     50.63     72.04     90.48     12.65 
   137       43.77     2.000000  1.050000  0.870000  220.000000        76.20     48.13     35.20      2.67    -15.00     66.10     47.38     63.53     86.53     26.98 
   138       50.77     1.600000  2.500000  0.840000  200.000000        80.20     60.53     36.80     12.80     11.67     74.00     62.14     65.13     88.39     16.05 
   139       51.00     1.530000  2.550000  0.930000  190.000000        93.00     61.20     38.40     16.00     -6.67     79.00     51.43     73.60     87.21     16.79 
   140       48.56     1.490000  3.250000  0.830000  180.000000        85.00     58.80     44.00      2.93    -13.33     82.60     58.57     75.09     86.49      5.43 
   141       46.58     1.570000  4.900000  0.890000  170.000000        69.80     60.67     50.80      4.00    -14.44     73.50     41.75     73.85     85.94     19.94 
   142       45.57     1.500000  5.500000  0.810000  150.000000        76.00     45.73     43.20     10.67    -12.22     58.30     57.38     70.62     86.53     19.44 
   143       52.17     1.080000  4.650000  0.880000  120.000000        81.40     63.73     65.20     11.20    -11.11     75.00     43.89     71.02     97.28     24.07 
   144       49.96     1.490000  4.500000  0.840000  90.000000        94.40     44.93     66.80      0.27      3.33     65.10     49.84     72.84     89.02     13.09 
   145       49.42     1.880000  5.000000  0.860000  130.000000        80.00     41.73     55.20      2.13     38.89     71.30     38.49     73.02     87.85      5.56 
   146       48.81     1.690000  6.000000  0.770000  170.000000        78.80     50.67     62.00     -1.07     -3.89     81.60     54.37     67.71     87.44     10.43 
   147       44.49     2.020000  6.550000  0.850000  100.000000        73.00     26.00     39.80     14.13     23.89     69.80     40.08     67.02     86.12      5.06 
   148       45.87     2.240000  5.750000  0.880000  120.000000        84.20     35.47     33.40     15.20     21.11     64.30     40.95     73.24     76.92     13.95 
   149       38.44     1.890000  5.700000  0.900000  160.000000        59.80     39.73     45.00      5.33    -47.78     67.50     40.71     64.84     96.05     13.21 
   150       45.46     1.960000  7.000000  0.810000  90.000000        77.40     36.80     46.40      5.60      8.33     67.90     48.89     63.64     86.94     12.72 
   151       42.23     1.640000  7.850000  0.850000  100.000000        88.60     36.53     56.60     -2.67    -32.22     64.40     42.38     59.02     95.24     14.38 
   152       48.33     1.490000  6.500000  0.810000  70.000000        83.20     63.87     57.80     -2.67      8.89     68.00     38.49     56.95     89.12     19.69 
   153       44.66     1.870000  6.850000  0.740000  100.000000        63.80     45.07     37.00      4.53     13.33     69.60     44.60     64.36     91.61     12.72 
   154       43.36     2.170000  7.150000  0.720000  140.000000        68.80     42.53     30.00     20.27      6.11     70.40     39.60     61.02     84.81     10.06 
   155       47.07     1.850000  7.300000  0.800000  100.000000        82.60     41.73     57.20     10.40     -3.33     61.00     48.97     59.49     96.33     16.30 
