constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllZero
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    82.73     2.742252  0.996345        99.60     95.08     97.40     63.76     10.57     99.40     88.27     96.25     94.83     82.11 
    81.55     3.704770  0.986372        99.60     95.08     97.40     63.76     10.57     99.40     77.77     95.45     94.38     82.08 
    82.68     2.798795  0.991104        99.60     95.08     97.40     63.76     10.57     99.40     87.92     96.18     94.89     81.96 
    82.49     3.134682  0.994943        99.60     95.08     97.40     63.76     10.57     99.40     86.18     95.89     94.89     82.10 
    80.63     4.059142  0.968157        99.60     95.08     97.40     63.76     10.57     99.40     68.47     95.09     94.94     81.97 
    82.05     2.167933  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.11     96.69     94.88     72.03 
    82.71     2.743467  0.993949        99.60     95.08     97.40     63.76     10.57     99.40     88.18     96.25     94.79     82.09 
    83.03     2.219738  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.03     96.62     94.86     81.96 
    82.29     1.821833  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     92.17     96.98     94.87     73.08 
    82.86     2.543499  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     89.38     96.40     94.88     82.10 
    82.91     2.525771  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     89.95     96.40     94.87     82.12 
    82.07     2.126827  1.000000        99.60     95.08     97.40     63.76     10.57     99.40     91.18     96.69     94.87     72.19 
    82.93     2.293184  0.990097        99.60     95.08     97.40     63.76     10.57     99.40     90.09     96.55     94.78     82.09 
    83.06     1.957393  0.982598        99.60     95.08     97.40     63.76     10.57     99.40     91.09     96.84     94.76     82.08 
    82.90     2.355681  0.990473        99.60     95.08     97.40     63.76     10.57     99.40     89.97     96.55     94.78     81.95 
    82.75     2.186486  0.951348        99.60     95.08     97.40     63.76     10.57     99.40     88.14     96.55     94.89     82.10 
