constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5], [9.0, 1.0], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 2 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
    Score          p01       p02       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
    76.62     6.949048  0.979448        99.60     95.08     97.40     63.76     10.57     99.40     56.34     86.40     75.51     82.12 
    75.75     8.656089  0.894642        99.60     95.08     97.40     63.76     10.57     99.40     56.34     77.75     75.51     82.10 
    77.21     4.948886  0.915438        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.33     75.50     82.11 
    79.66     4.245178  0.813623        99.60     95.08     97.40     63.76     10.57     99.40     56.34     92.40    100.00     82.09 
    82.47     2.016685  0.947986        99.60     95.08     97.40     63.76     10.57     99.40     85.34     95.82     95.60     82.09 
    82.36     1.449745  0.821672        99.60     95.08     97.40     63.76     10.57     99.40     84.06     96.00     95.59     82.10 
    77.40     3.774762  0.877576        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.25     75.50     82.11 
    82.60     1.517962  0.896744        99.60     95.08     97.40     63.76     10.57     99.40     86.15     96.04     96.00     81.97 
    82.56     0.934061  0.842422        99.60     95.08     97.40     63.76     10.57     99.40     85.89     96.11     95.70     82.07 
    77.69     2.543919  0.799111        99.60     95.08     97.40     63.76     10.57     99.40     58.76     94.95     75.49     81.88 
    82.39     1.255853  0.774872        99.60     95.08     97.40     63.76     10.57     99.40     84.17     96.04     95.96     81.89 
    77.57     0.500000  0.838441        99.60     95.08     97.40     63.76     10.57     99.40     74.10     95.96     94.94     44.90 
    82.51     0.832324  0.797318        99.60     95.08     97.40     63.76     10.57     99.40     85.86     96.04     95.25     82.10 
    81.92     2.363583  0.867620        99.60     95.08     97.40     63.76     10.57     99.40     75.97     95.31    100.00     82.12 
    75.67     0.500000  0.870071        99.60     95.08     97.40     63.76     10.57     99.40     74.10     94.87     95.01     26.96 
    81.34     1.809334  0.757112        99.60     95.08     97.40     63.76     10.57     99.40     75.10     95.53     94.89     82.10 
    78.37     0.500000  0.731604        99.60     95.08     97.40     63.76     10.57     99.40     78.47     95.96     95.75     47.71 
    81.72     1.821805  0.818262        99.60     95.08     97.40     63.76     10.57     99.40     76.99     95.67     96.63     82.10 
    81.89     2.309181  0.854597        99.60     95.08     97.40     63.76     10.57     99.40     75.66     95.31     99.99     82.11 
    77.34     3.731979  0.796268        99.60     95.08     97.40     63.76     10.57     99.40     56.34     93.64     75.51     82.10 
    77.42     2.972320  0.784875        99.60     95.08     97.40     63.76     10.57     99.40     56.34     94.44     75.49     82.10 
    82.29     1.966199  0.909109        99.60     95.08     97.40     63.76     10.57     99.40     83.91     95.82     95.26     82.07 
    81.17     2.999294  0.909799        99.60     95.08     97.40     63.76     10.57     99.40     75.52     94.87     93.41     82.07 
    78.56     3.132113  0.897292        99.60     95.08     97.40     63.76     10.57     99.40     67.49     94.73     75.51     82.09 
    82.42     2.114179  0.941605        99.60     95.08     97.40     63.76     10.57     99.40     84.90     95.75     95.64     82.09 
    81.55     3.147827  0.970885        99.60     95.08     97.40     63.76     10.57     99.40     77.46     94.95     95.19     82.10 
    77.80     0.676370  0.909883        99.60     95.08     97.40     63.76     10.57     99.40     76.29     96.00     94.98     44.94 
    81.40     2.539689  0.889911        99.60     95.08     97.40     63.76     10.57     99.40     76.04     95.24     94.99     81.95 
    82.53     1.946096  0.972942        99.60     95.08     97.40     63.76     10.57     99.40     85.23     95.96     96.32     81.96 
    81.58     1.294306  0.948798        99.60     95.08     97.40     63.76     10.57     99.40     85.64     96.18     94.98     73.17 
    82.63     1.902959  0.950911        99.60     95.08     97.40     63.76     10.57     99.40     86.12     95.96     96.33     82.09 
    82.22     2.286715  0.927044        99.60     95.08     97.40     63.76     10.57     99.40     83.05     95.53     95.71     82.09 
    82.64     1.392101  0.877799        99.60     95.08     97.40     63.76     10.57     99.40     86.23     96.11     96.17     82.11 
    82.36     1.687549  0.872889        99.60     95.08     97.40     63.76     10.57     99.40     84.11     95.96     95.77     81.97 
    81.69     1.750417  0.831158        99.60     95.08     97.40     63.76     10.57     99.40     78.05     95.82     95.14     82.10 
    82.51     0.872804  0.826351        99.60     95.08     97.40     63.76     10.57     99.40     85.93     96.04     95.19     82.09 
    79.69     1.826723  0.842108        99.60     95.08     97.40     63.76     10.57     99.40     77.92     95.75     75.51     81.97 
    82.57     1.298404  0.855337        99.60     95.08     97.40     63.76     10.57     99.40     86.23     96.18     95.42     82.07 
    82.58     1.040661  0.875086        99.60     95.08     97.40     63.76     10.57     99.40     85.87     96.11     95.93     82.10 
    77.98     0.733109  0.897928        99.60     95.08     97.40     63.76     10.57     99.40     78.47     96.00     95.00     44.52 
    75.81     0.639064  0.903997        99.60     95.08     97.40     63.76     10.57     99.40     74.10     95.96     95.00     27.26 
