constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
Oracle probabilites : disabled
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.0], [0.4], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  0  ]
Optimizer(): evals/step: 25
Optimizer(): numParams: 1 , completeRepeats: 100
MABsolver_config: algorithms: EpsGreedy , CP Disabled , CPT Davor , Reset AllMovingCutoff
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.140000  ]  [  2.000000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  0  1  2  3  4  5  6  7  8  9  
BanditTestBatch: numCases: 10
BanditTestBatch: maxim sum reward: 3919.0
BanditTestBatch: random reward: 2805.0
 Evals       Score          p00       case01    case02    case03    case04    case05    case06    case07    case08    case09    case10 
   137       42.04      0.08702        71.28     87.84     82.88     47.20      5.78      8.64      2.60     29.02     80.93      4.20 
   138       39.31      0.11033        56.40     78.35     73.68     23.95      9.33      3.16     10.19     34.08     88.15     15.80 
   139       37.03      0.12827        61.12     85.65     62.88     20.00     -1.11     12.36     -2.41     31.14     86.14     14.54 
   140       36.60      0.13680        60.40     77.55     74.08     32.27     -8.22      4.32      7.24     27.90     81.46      8.99 
   141       36.21      0.03466        47.84     94.03     91.12      6.67    -10.00      9.52     -5.43     33.60     89.10      5.63 
   142       40.62      0.09987        68.48     84.64     83.04     16.69      8.22     12.08      1.02     29.22     85.61     17.21 
   143       36.85      0.12575        70.32     92.37     71.20      9.65      2.00      3.52      2.98     28.99     82.13      5.33 
   144       42.19      0.13915        79.76     76.43     74.16     29.81     26.89      8.00      5.33     30.57     82.31      8.67 
   145       36.97      0.11135        50.56     89.92     79.04     10.93     19.33      8.12     -5.90     28.87     80.93      7.90 
   146       44.25      0.16706        75.20     83.36     72.80     27.47     27.78     15.64      9.94     27.67     83.09     19.60 
   147       36.06      0.22057        69.52     77.07     63.44     25.01      6.44      5.92      4.60     25.54     77.49      5.53 
   148       36.94      0.27057        57.20     75.09     56.88     38.45     10.67      8.40     10.35     28.17     72.61     11.60 
   149       35.12      0.31870        57.36     65.23     56.16     41.23     17.78      2.32      3.11     25.12     65.55     17.31 
   150       29.78      0.27156        66.24     77.44     63.04     13.81    -26.00      4.60     -7.11     24.95     69.60     11.21 
   151       32.20      0.30135        63.04     72.80     56.08     22.35      2.00      3.44      3.02     26.40     66.91      5.93 
   152       29.95      0.30212        60.32     61.28     43.84     11.79     11.33      5.36      6.25     26.59     70.36      2.40 
   153       39.30      0.22781        61.36     70.93     66.16     33.33     28.22     10.44     -1.81     30.88     74.62     18.84 
   154       36.27      0.19722        75.36     87.79     52.16     27.68     -3.33      5.08      1.40     30.72     75.53     10.30 
   155       37.46      0.18438        65.60     77.55     72.64     14.99     17.78      8.48      7.81     29.56     76.87      3.36 
   156       39.60      0.15932        70.64     85.65     67.52     17.97     15.11     13.36      3.52     31.32     79.17     11.73 
   157       40.25      0.14685        66.64     79.73     78.88     28.75     22.00      3.88      2.83     29.38     83.44      6.96 
   158       42.53      0.10917        73.52     84.85     81.12     27.89      4.22     16.28      2.89     31.52     88.50     14.52 
   159       44.17      0.08698        61.04     82.24     84.56     41.87     19.78     12.32      7.49     30.33     90.28     11.75 
   160       40.45      0.08680        58.80     86.51     90.24      5.17     19.11     10.40      4.41     32.01     86.23     11.63 
   161       39.23      0.08277        49.20     92.37     72.72     22.77     11.56      9.72      9.05     26.89     87.25     10.79 
   162       40.70      0.09632        62.80     87.95     81.76     40.16     -1.33     15.48     -7.71     32.87     85.16      9.90 
   163       38.65      0.11931        70.96     82.45     69.76     23.63      5.11      7.60     -0.10     35.51     83.84      7.75 
   164       40.02      0.10736        72.72     92.69     91.04      5.60     -3.78     14.72      3.75     30.84     85.74      6.91 
   165       35.94      0.08573        58.64     90.45     81.36     -1.01    -17.33     10.68     -0.67     31.90     86.63     18.77 
   166       39.92      0.06910        65.68     94.03     87.28     -0.37      8.00     16.52     -6.41     34.44     83.85     16.20 
   167       36.51      0.09164        63.12     93.87     68.32     -3.15      4.22      9.44     -0.60     35.07     87.65      7.16 
   168       34.25      0.06518        38.88     76.80     75.28    -16.27     44.89      1.44      3.40     24.12     89.79      4.20 
   169       43.23      0.07521        72.08     89.17     80.96     52.64     -6.22      9.36     -1.59     31.23     89.01     15.65 
   170       39.66      0.11203        60.32     87.20     72.48     14.45     12.67     23.16      2.00     31.39     85.98      6.94 
   171       39.65      0.07210        79.68     76.75     76.56     13.28     16.67      0.92      0.98     31.04     91.80      8.86 
   172       42.13      0.09720        80.56     83.15     66.80     40.59      5.11      8.68      6.98     33.56     86.32      9.58 
   173       37.07      0.10035        62.72     83.63     83.36     21.49     -3.78      0.76     -5.24     30.36     86.49     10.91 
   174       36.35      0.07803        56.32     86.13     64.08     11.04      0.44     11.24      2.73     34.05     86.32     11.19 
   175       35.70      0.09126        57.44     90.99     78.64      6.67     -3.33      6.12     -2.38     23.53     86.81     12.54 
   176       42.65      0.07163        46.00     94.29     83.92     28.53     14.89     16.16     10.54     36.03     83.87     12.22 
   177       37.95      0.07845        69.84     86.51     85.12      6.35    -11.56     15.32      3.59     28.73     87.77      7.80 
   178       37.21      0.04937        59.76     97.55     75.28     12.43      3.78     -2.28      2.86     26.68     87.90      8.17 
   179       39.87      0.05435        38.80     92.91     85.68      8.16     11.78     18.08      6.67     35.77     91.56      9.33 
   180       42.60      0.07662        66.48     98.24     91.12      7.41      2.67     11.28     10.79     38.92     87.95     11.16 
   181       41.58      0.07589        63.36     78.51     86.24     25.23     15.11     14.32      3.40     30.65     84.34     14.67 
   182       40.24      0.05449        44.64     92.69     88.72     13.07     19.78      8.76      7.14     30.23     86.01     11.33 
   183       36.76      0.06474        57.76     93.97     98.96      6.03     -8.00      3.96     -9.30     27.07     89.66      7.46 
   184       44.11      0.07295        69.28     91.89     85.04     12.53     39.56     12.84      3.46     31.21     89.13      6.17 
